pysat base3 N=86: SAT (0.2s)
pysat base3 N=87: UNSAT (0.2s), initial core: 393 APs
minimal (irreducible) core: 245 APs
  x= 35 d=  9 terms=[35, 44, 53, 62] blocks=[3, 3, 3, 3]
  x= 32 d= 10 terms=[32, 42, 52, 62] blocks=[3, 3, 3, 3]
  x= 29 d= 11 terms=[29, 40, 51, 62] blocks=[3, 3, 3, 3]
  x=  8 d= 18 terms=[8, 26, 44, 62] blocks=[1, 2, 3, 3]
  x=  5 d= 19 terms=[5, 24, 43, 62] blocks=[1, 2, 3, 3]
  x= 45 d=  6 terms=[45, 51, 57, 63] blocks=[3, 3, 3, 3]
  x= 36 d=  9 terms=[36, 45, 54, 63] blocks=[3, 3, 3, 3]
  x= 33 d= 10 terms=[33, 43, 53, 63] blocks=[3, 3, 3, 3]
  x= 30 d= 11 terms=[30, 41, 52, 63] blocks=[3, 3, 3, 3]
  x= 27 d= 12 terms=[27, 39, 51, 63] blocks=[3, 3, 3, 3]
  x=  6 d= 19 terms=[6, 25, 44, 63] blocks=[1, 2, 3, 3]
  x=  3 d= 20 terms=[3, 23, 43, 63] blocks=[1, 2, 3, 3]
  x= 37 d=  9 terms=[37, 46, 55, 64] blocks=[3, 3, 3, 3]
  x= 34 d= 10 terms=[34, 44, 54, 64] blocks=[3, 3, 3, 3]
  x= 31 d= 11 terms=[31, 42, 53, 64] blocks=[3, 3, 3, 3]
  x= 28 d= 12 terms=[28, 40, 52, 64] blocks=[3, 3, 3, 3]
  x=  7 d= 19 terms=[7, 26, 45, 64] blocks=[1, 2, 3, 3]
  x=  4 d= 20 terms=[4, 24, 44, 64] blocks=[1, 2, 3, 3]
  x= 35 d= 10 terms=[35, 45, 55, 65] blocks=[3, 3, 3, 3]
  x= 32 d= 11 terms=[32, 43, 54, 65] blocks=[3, 3, 3, 3]
  x= 29 d= 12 terms=[29, 41, 53, 65] blocks=[3, 3, 3, 3]
  x=  5 d= 20 terms=[5, 25, 45, 65] blocks=[1, 2, 3, 3]
  x= 57 d=  3 terms=[57, 60, 63, 66] blocks=[3, 3, 3, 3]
  x= 36 d= 10 terms=[36, 46, 56, 66] blocks=[3, 3, 3, 3]
  x= 30 d= 12 terms=[30, 42, 54, 66] blocks=[3, 3, 3, 3]
  x= 27 d= 13 terms=[27, 40, 53, 66] blocks=[3, 3, 3, 3]
  x=  6 d= 20 terms=[6, 26, 46, 66] blocks=[1, 2, 3, 3]
  x=  3 d= 21 terms=[3, 24, 45, 66] blocks=[1, 2, 3, 3]
  x= 55 d=  4 terms=[55, 59, 63, 67] blocks=[3, 3, 3, 3]
  x= 31 d= 12 terms=[31, 43, 55, 67] blocks=[3, 3, 3, 3]
  x=  4 d= 21 terms=[4, 25, 46, 67] blocks=[1, 2, 3, 3]
  x= 59 d=  3 terms=[59, 62, 65, 68] blocks=[3, 3, 3, 3]
  x= 56 d=  4 terms=[56, 60, 64, 68] blocks=[3, 3, 3, 3]
  x= 53 d=  5 terms=[53, 58, 63, 68] blocks=[3, 3, 3, 3]
  x= 35 d= 11 terms=[35, 46, 57, 68] blocks=[3, 3, 3, 3]
  x= 32 d= 12 terms=[32, 44, 56, 68] blocks=[3, 3, 3, 3]
  x= 29 d= 13 terms=[29, 42, 55, 68] blocks=[3, 3, 3, 3]
  x=  5 d= 21 terms=[5, 26, 47, 68] blocks=[1, 2, 3, 3]
  x=  2 d= 22 terms=[2, 24, 46, 68] blocks=[0, 2, 3, 3]
  x= 60 d=  3 terms=[60, 63, 66, 69] blocks=[3, 3, 3, 3]
