# 2497 distinct multisets of maximal run lengths
# count  multiset
39 3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
39 3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
39 4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
39 4,4,3,2,2,2,2,2,2,2,2,2
39 5,4,4,3,3,3,3,2,2,2,2,2,2,2,2,2
39 6,4,3,3,3,2,2,2,2,2,2,2,2,2
38 4,2,2,2,2,2,2,2,2,2,2,2,2,2
38 5,4,4,3,3,3,2,2,2,2,2,2,2,2
38 6,3,3,3,2,2,2,2,2,2,2,2,2
38 6,4,3,3,2,2,2,2,2,2,2,2,2,2
37 4,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2
37 4,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2
37 4,4,4,3,3,3,2,2,2,2,2,2,2,2
37 5,3,3,3,3,3,2,2,2,2,2,2,2
37 5,4,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2
36 3,3,2,2,2,2,2,2,2,2,2
36 4,3,2,2,2,2,2,2,2,2,2
36 4,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2
36 5,4,3,3,3,3,3,2,2,2,2,2,2,2,2
35 3,3,3,3,3,2,2,2,2,2,2,2
35 4,4,4,3,2,2,2,2,2,2,2,2,2,2,2,2
35 4,4,4,3,3,3,3,2,2,2,2,2,2,2,2
35 5,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2
34 3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
34 6,3,3,3,3,2,2,2,2,2,2,2,2,2,2
34 6,4,3,2,2,2,2,2,2,2,2,2,2,2,2
34 7,3,3,2,2,2,2,2,2,2,2,2,2,2
33 3,3,3,2,2,2,2,2,2,2,2
33 6,3,3,2,2,2,2,2,2,2,2,2,2
32 3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
32 4,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
32 4,3,3,3,2,2,2,2,2,2,2
32 4,4,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2
32 5,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
31 3,3,3,3,3,3,3,2,2,2,2,2,2,2
31 4,4,2,2,2,2,2,2,2,2,2,2,2,2,2
31 4,4,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
31 4,4,4,3,2,2,2,2,2,2,2,2,2,2,2
31 6,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2
30 4,2,2,2,2,2,2,2,2,2,2,2,2
30 4,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
30 4,3,3,3,3,3,3,2,2,2,2,2,2
30 4,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2
30 4,4,3,3,2,2,2,2,2,2,2
30 4,4,3,3,3,3,3,3,2,2,2,2,2,2,2,2
30 5,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
30 5,3,3,3,3,2,2,2,2,2,2,2
30 6,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2
30 6,4,3,3,2,2,2,2,2,2,2,2,2,2,2
30 7,3,3,3,2,2,2,2,2,2,2,2,2,2,2
29 4,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
29 4,4,3,3,3,3,3,3,2,2,2,2,2,2,2
29 5,3,3,3,3,3,3,2,2,2,2,2,2,2,2
29 5,4,3,3,3,3,2,2,2,2,2,2,2
29 6,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2
28 4,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
28 4,4,4,3,3,2,2,2,2,2,2,2,2
28 5,4,3,3,3,3,3,2,2,2,2,2,2,2
28 5,4,4,3,3,3,3,2,2,2,2,2,2,2,2,2,2
28 6,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2
27 2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
27 4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
27 5,4,4,3,2,2,2,2,2,2,2,2,2,2,2,2
27 5,4,4,3,3,2,2,2,2,2,2,2,2,2,2,2,2
27 6,3,2,2,2,2,2,2,2,2,2,2,2
27 6,4,3,2,2,2,2,2,2,2,2,2,2,2
27 6,4,3,3,2,2,2,2,2,2,2,2,2
27 6,4,3,3,2,2,2,2,2,2,2,2,2,2,2,2
27 7,3,3,2,2,2,2,2,2,2,2,2,2
27 7,3,3,3,2,2,2,2,2,2,2,2,2,2
26 2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
26 4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
26 4,4,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2
26 4,4,4,3,2,2,2,2,2,2,2,2,2
26 5,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2
26 5,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2
26 5,4,2,2,2,2,2,2,2,2,2,2,2,2,2
26 5,4,4,3,2,2,2,2,2,2,2,2,2,2
26 6,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
26 7,3,3,2,2,2,2,2,2,2,2,2,2,2,2
25 5,4,3,3,2,2,2,2,2,2,2
25 5,4,4,3,3,3,3,3,2,2,2,2,2,2,2,2
25 6,4,3,3,3,3,2,2,2,2,2,2,2,2,2,2
24 3,2,2,2,2,2,2,2,2,2,2
24 4,3,3,3,3,3,3,3,2,2,2,2,2,2,2
24 4,4,4,3,2,2,2,2,2,2,2,2,2,2
24 5,4,4,3,3,3,3,2,2,2,2,2,2,2
23 2,2,2,2,2,2,2,2,2,2,2,2,2
23 4,3,3,3,3,3,3,3,2,2,2,2,2,2
23 4,4,4,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2
23 5,3,2,2,2,2,2,2,2,2,2,2
23 5,4,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2
23 5,4,3,3,3,3,3,3,2,2,2,2,2,2,2,2
23 5,4,4,3,3,3,3,2,2,2,2,2,2,2,2
23 5,5,3,3,2,2,2,2,2,2,2,2,2,2,2
23 5,5,3,3,3,2,2,2,2,2,2,2,2,2,2,2
23 6,3,2,2,2,2,2,2,2,2,2,2,2,2
23 6,3,3,3,3,3,2,2,2,2,2,2,2,2,2
23 6,4,3,2,2,2,2,2,2,2,2,2,2
23 6,4,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2
23 6,4,3,3,3,2,2,2,2,2,2,2,2
23 6,4,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2
22 3,3,2,2,2,2,2,2,2,2
22 4,3,3,2,2,2,2,2,2,2
22 4,3,3,3,2,2,2,2,2,2
22 4,4,4,3,3,3,3,3,2,2,2,2,2,2,2,2
22 5,3,3,2,2,2,2,2,2,2,2
22 5,4,4,3,2,2,2,2,2,2,2,2,2,2,2
22 6,4,3,3,3,3,2,2,2,2,2,2,2,2,2
22 7,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2
22 7,4,3,3,2,2,2,2,2,2,2,2,2,2,2
21 4,4,4,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2
21 5,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2
21 5,4,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2
21 6,3,2,2,2,2,2,2,2,2,2,2,2,2,2
21 6,3,3,2,2,2,2,2,2,2,2,2
21 6,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2
21 7,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2
21 7,4,3,3,3,2,2,2,2,2,2,2,2,2
20 2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
20 2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
20 3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2
20 4,3,3,3,3,2,2,2,2,2,2
20 4,4,3,3,3,3,3,2,2,2,2,2,2
20 4,4,4,3,2,2,2,2,2,2,2,2,2,2,2,2,2
20 4,4,4,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2
20 4,4,4,3,3,3,2,2,2,2,2,2,2
20 4,4,4,3,3,3,3,2,2,2,2,2,2,2
20 5,4,4,3,3,2,2,2,2,2,2,2,2
19 3,3,3,3,2,2,2,2,2,2,2
19 4,2,2,2,2,2,2,2,2,2,2,2
19 4,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
19 4,4,3,3,3,3,2,2,2,2,2,2
19 5,4,3,2,2,2,2,2,2,2,2
19 5,4,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
19 6,3,2,2,2,2,2,2,2,2,2,2
19 6,4,3,3,3,3,2,2,2,2,2,2,2,2
18 3,2,2,2,2,2,2,2,2,2
18 4,4,2,2,2,2,2,2,2,2,2,2,2,2
18 4,4,3,2,2,2,2,2,2,2,2
18 4,4,3,3,3,2,2,2,2,2,2
18 5,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
18 5,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2
18 5,4,3,3,3,3,3,3,2,2,2,2,2,2,2
18 6,3,3,3,3,2,2,2,2,2,2,2,2
18 6,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2
18 6,4,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2
18 6,4,4,3,3,2,2,2,2,2,2,2,2,2,2
17 3,3,3,3,3,3,3,3,2,2,2,2,2,2,2
17 3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2
17 4,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2
17 4,4,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2
17 4,4,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2
17 4,4,4,3,3,3,3,3,2,2,2,2,2,2,2,2,2
17 5,4,4,3,3,3,2,2,2,2,2,2,2
17 5,5,3,3,3,2,2,2,2,2,2,2,2,2
