# Erdos 289, route-A verified certificates: legal U (no isolated point, min>=2)
# with sum_{n in U} 1/n = 1 exactly.  Format:  r  M  max | elements
# r = #maximal runs, M = sum_i floor(L_i/2).  P(k) holds for r <= k <= M.
# All lines re-checked by verify.py (Fraction) and by integer lcm arithmetic.
10 10 105 | 6 7 9 10 13 14 20 21 24 25 39 40 55 56 77 78 99 100 104 105
10 11 105 | 8 9 10 11 13 14 20 21 27 28 32 33 38 39 40 54 55 76 77 78 95 96 104 105
10 12 105 | 8 9 10 11 13 14 17 18 32 33 34 35 38 39 55 56 76 77 78 84 85 95 96 104 105
10 11 105 | 8 9 12 13 14 15 17 18 19 34 35 36 39 40 44 45 56 57 76 77 78 84 85 104 105
11 13 105 | 10 11 13 14 17 18 19 21 22 25 26 27 28 33 34 35 54 55 56 57 76 77 84 85 99 100 104 105
11 11 105 | 4 5 17 18 21 22 24 25 27 28 34 35 54 55 65 66 84 85 99 100 104 105
11 11 105 | 9 10 11 13 14 17 18 20 21 25 26 27 33 34 44 45 54 55 56 84 85 99 100 104 105
11 14 105 | 11 12 13 17 18 19 20 21 22 24 25 27 28 33 34 39 40 54 55 56 57 76 77 78 84 85 99 100 104 105
11 14 105 | 12 13 14 15 17 18 19 20 21 24 25 27 28 34 35 39 40 54 55 56 57 76 77 78 84 85 99 100 104 105
11 11 105 | 7 8 9 12 13 20 21 24 25 27 28 35 36 39 40 54 55 77 78 99 100 104 105
11 14 105 | 11 12 14 15 17 18 19 20 21 22 27 28 33 34 35 44 45 54 55 56 57 65 66 76 77 84 85 104 105
11 11 105 | 7 8 11 12 13 20 21 27 28 32 33 35 36 38 39 40 54 55 76 77 78 95 96 104 105
12 12 105 | 6 7 11 12 17 18 21 22 24 25 34 35 36 65 66 77 78 84 85 90 91 99 100 104 105
12 13 105 | 7 8 9 10 21 22 24 25 27 28 35 36 44 45 54 55 56 65 66 77 78 90 91 99 100 104 105
13 13 105 | 8 9 11 12 17 18 19 21 22 24 25 34 35 56 57 65 66 76 77 78 84 85 90 91 99 100 104 105
13 13 105 | 9 10 12 13 17 18 19 21 22 25 26 34 35 36 44 45 56 57 76 77 78 84 85 90 91 99 100 104 105
10 12 115 | 8 9 10 11 12 17 18 23 24 32 33 34 35 55 56 57 69 70 76 77 84 85 95 96 114 115
10 10 115 | 6 7 8 11 12 20 21 23 24 32 33 55 56 57 69 70 76 77 95 96 114 115
10 11 115 | 7 8 9 11 12 21 22 23 24 25 32 33 55 56 57 69 70 76 77 95 96 99 100 114 115
11 11 115 | 4 5 10 11 22 23 32 33 44 45 56 57 69 70 76 77 78 90 91 95 96 114 115
11 11 115 | 5 6 10 11 12 22 23 32 33 44 45 56 57 69 70 76 77 78 90 91 95 96 114 115
11 14 115 | 8 9 10 11 21 22 23 24 25 27 28 32 33 54 55 56 57 69 70 76 77 78 90 91 95 96 99 100 114 115
11 13 115 | 8 9 10 11 12 20 21 22 23 32 33 44 45 55 56 57 65 66 69 70 76 77 95 96 104 105 114 115
12 13 115 | 7 8 11 12 14 15 23 24 27 28 32 33 54 55 56 57 69 70 76 77 78 90 91 95 96 114 115
12 13 115 | 8 9 11 12 13 20 21 22 23 25 26 32 33 55 56 57 69 70 76 77 95 96 99 100 104 105 114 115
12 13 115 | 8 9 11 12 17 18 22 23 24 32 33 34 35 36 44 45 56 57 69 70 76 77 84 85 95 96 114 115
13 14 115 | 6 7 11 12 21 22 23 24 32 33 44 45 55 56 57 65 66 69 70 76 77 78 90 91 95 96 104 105 114 115
12 14 120 | 8 9 10 11 17 18 23 24 32 33 34 50 51 52 55 56 57 68 69 70 75 76 77 78 95 96 104 105 114 115 119 120
12 12 120 | 6 7 11 12 14 15 23 24 32 33 34 55 56 57 68 69 70 76 77 84 85 95 96 114 115 119 120
13 15 120 | 7 8 17 18 20 21 22 23 27 28 32 33 34 44 45 50 51 54 55 56 57 68 69 75 76 95 96 114 115 119 120
13 14 120 | 7 8 10 11 20 21 22 23 32 33 34 44 45 56 57 68 69 70 76 77 78 84 85 90 91 95 96 114 115 119 120
13 14 120 | 6 7 10 11 22 23 24 32 33 34 35 44 45 56 57 68 69 76 77 78 84 85 90 91 95 96 114 115 119 120
13 15 120 | 8 9 10 11 17 18 22 23 32 33 34 44 45 50 51 56 57 68 69 75 76 77 78 90 91 95 96 114 115 119 120
13 14 120 | 8 9 11 12 13 23 24 26 27 28 32 33 34 54 55 56 57 68 69 76 77 84 85 95 96 104 105 114 115 119 120
13 14 120 | 7 8 10 11 12 22 23 32 33 34 35 44 45 56 57 68 69 76 77 78 84 85 90 91 95 96 114 115 119 120
13 14 120 | 6 7 17 18 22 23 24 27 28 32 33 34 44 45 50 51 54 55 56 57 68 69 70 75 76 95 96 114 115 119 120
14 14 120 | 8 9 11 12 17 18 22 23 24 32 33 34 50 51 55 56 57 65 66 68 69 75 76 95 96 104 105 114 115 119 120
14 16 120 | 6 7 17 18 23 24 25 26 32 33 34 44 45 50 51 56 57 65 66 68 69 70 75 76 77 78 95 96 99 100 114 115 119 120
15 17 120 | 7 8 9 23 24 25 26 32 33 34 35 39 40 44 45 56 57 65 66 68 69 76 77 84 85 90 91 95 96 99 100 114 115 119 120
10 16 196 | 12 13 14 15 16 17 18 19 20 21 22 23 24 25 48 49 68 69 70 98 99 100 104 105 114 115 119 120 135 136 189 190 195 196
